loyalty_number,province,gender,education,salary,marital_status,loyalty_card,customer_lifetime_value,enrollment_type,total_flights,engagement_status,lifespan,enrollment_date
101515,New Brunswick,Male,Bachelor,68711.0,Married,Nova,7737.27,Standard,29,Engaged,4,2014-01-01
101540,Ontario,Female,Bachelor,69020.0,Single,Star,2688.88,Standard,30,Engaged,1,2017-05-01
101544,Quebec,Female,Bachelor,56531.0,Married,Nova,24249.34,Standard,40,Engaged,4,2014-04-01
101547,Ontario,Female,College,67178.0,Married,Star,5619.69,Standard,17,Disengaged,1,2017-10-01
101581,Ontario,Male,Bachelor,87781.0,Married,Star,4595.46,Standard,36,Engaged,6,2012-10-01
101594,Ontario,Male,Doctor,239867.0,Divorced,Star,5205.75,Standard,43,Engaged,3,2015-08-01
101644,Ontario,Female,Master,101038.0,Married,Star,8382.63,Standard,2,Disengaged,0,2018-11-01
101663,Ontario,Male,Bachelor,94946.0,Married,Aurora,5129.74,Standard,41,Engaged,2,2016-09-01
101664,Nova Scotia,Male,Bachelor,87654.0,Married,Aurora,9002.41,Standard,29,Engaged,5,2013-07-01
101768,British Columbia,Male,Bachelor,70267.0,Single,Nova,13916.93,Standard,1,Disengaged,0,2018-09-01
101895,Ontario,Female,Bachelor,81883.0,Single,Nova,24543.2,Standard,27,Engaged,5,2013-02-01
101902,Ontario,Female,College,67178.0,Married,Aurora,6265.34,Standard,77,Engaged,1,2017-01-01
101945,Nova Scotia,Male,Bachelor,86098.0,Married,Star,4202.66,Standard,39,Engaged,5,2013-11-01
102168,Ontario,Female,Bachelor,75265.0,Divorced,Nova,7166.34,Standard,25,Engaged,0,2018-01-01
102184,Alberta,Male,Bachelor,76887.0,Married,Star,4923.18,Standard,45,Engaged,2,2016-04-01
102207,Quebec,Male,Bachelor,86413.0,Divorced,Nova,6960.92,Standard,25,Engaged,6,2012-05-01
102299,Manitoba,Female,College,67178.0,Single,Star,2089.34,Standard,48,Engaged,3,2015-07-01
102308,Quebec,Male,College,66801.5,Single,Star,12866.89,Standard,0,Disengaged,0,2018-11-01
102311,Ontario,Female,Bachelor,76485.0,Single,Star,7507.46,Standard,51,Engaged,2,2016-10-01
102376,Ontario,Male,College,66801.5,Single,Aurora,12765.78,2018 Promotion,73,Engaged,0,2018-03-01
102464,Quebec,Male,Bachelor,60563.0,Married,Star,2725.68,Standard,14,Disengaged,2,2016-07-01
102615,Saskatchewan,Female,Doctor,51630.0,Married,Aurora,7590.05,Standard,2,Disengaged,0,2018-09-01
102726,Saskatchewan,Male,Bachelor,84147.0,Married,Nova,8044.87,Standard,21,Engaged,1,2017-08-01
102730,New Brunswick,Male,High School or Below,80919.0,Single,Star,2453.57,Standard,27,Engaged,1,2017-12-01
102740,Ontario,Female,Bachelor,100571.0,Married,Star,16922.13,Standard,5,Disengaged,0,2018-06-01
102788,Quebec,Male,Bachelor,31170.0,Single,Nova,11124.21,2018 Promotion,84,Engaged,0,2018-03-01
102851,British Columbia,Female,Bachelor,60216.0,Single,Star,19435.63,Standard,39,Engaged,4,2014-08-01
102877,Ontario,Female,College,67178.0,Married,Nova,2863.04,Standard,45,Engaged,4,2014-07-01
102982,British Columbia,Male,Bachelor,84442.0,Married,Aurora,5235.57,Standard,29,Engaged,2,2016-11-01
103043,Ontario,Male,Bachelor,97920.0,Married,Star,3351.21,Standard,43,Engaged,0,2018-12-01
103151,British Columbia,Female,Bachelor,64962.0,Married,Aurora,32613.69,Standard,31,Engaged,5,2013-05-01
103217,Quebec,Male,College,66801.5,Single,Star,6439.33,Standard,36,Engaged,5,2013-10-01
103304,Alberta,Male,Bachelor,67227.0,Married,Star,2683.47,Standard,37,Engaged,5,2013-10-01
103340,British Columbia,Male,College,66801.5,Single,Star,7577.07,Standard,44,Engaged,1,2017-03-01
103359,British Columbia,Female,College,67178.0,Single,Star,4502.87,Standard,53,Engaged,2,2016-03-01
103362,Quebec,Male,College,66801.5,Single,Star,4807.0,Standard,3,Disengaged,0,2018-10-01
103436,Quebec,Male,Bachelor,67445.0,Single,Star,5015.01,Standard,49,Engaged,5,2013-05-01
103490,British Columbia,Male,High School or Below,65543.0,Single,Nova,17651.96,Standard,45,Engaged,5,2013-07-01
103502,Ontario,Male,Bachelor,66226.0,Married,Star,2580.85,Standard,18,Disengaged,1,2017-05-01
103536,British Columbia,Female,College,67178.0,Married,Nova,9202.64,Standard,59,Engaged,6,2012-10-01
103699,Alberta,Male,Bachelor,86388.0,Single,Nova,5595.39,Standard,24,Engaged,0,2018-01-01
103731,Manitoba,Female,Bachelor,90487.0,Married,Nova,4015.34,Standard,33,Engaged,2,2016-01-01
103758,British Columbia,Female,Bachelor,103461.0,Single,Star,14727.51,Standard,18,Disengaged,0,2018-06-01
103823,Ontario,Female,High School or Below,52820.0,Married,Nova,4812.53,Standard,42,Engaged,4,2014-10-01
103860,Ontario,Male,Bachelor,75348.0,Married,Nova,3358.53,Standard,40,Engaged,4,2014-05-01
103862,Ontario,Female,Doctor,299560.0,Married,Star,4878.83,Standard,37,Engaged,5,2013-07-01
103916,Alberta,Female,High School or Below,60894.0,Married,Star,3803.92,Standard,36,Engaged,4,2014-03-01
103969,Ontario,Male,Bachelor,52405.0,Married,Aurora,31410.93,Standard,33,Engaged,3,2015-04-01
103970,British Columbia,Female,Doctor,221857.0,Married,Aurora,8257.67,Standard,45,Engaged,3,2015-10-01
103975,Ontario,Male,Bachelor,71775.0,Married,Star,2411.26,Standard,15,Disengaged,0,2018-08-01
103985,Ontario,Male,College,66801.5,Single,Nova,2761.69,Standard,4,Disengaged,0,2018-09-01
104103,British Columbia,Male,College,66801.5,Married,Nova,8262.88,Standard,32,Engaged,2,2016-05-01
104267,Ontario,Male,Bachelor,28642.0,Married,Star,2701.04,2018 Promotion,38,Engaged,0,2018-03-01
104353,Saskatchewan,Male,Bachelor,104140.0,Married,Star,15777.89,Standard,42,Engaged,4,2014-01-01
104431,Manitoba,Female,Doctor,243591.0,Married,Nova,2822.59,Standard,43,Engaged,4,2014-11-01
104541,Ontario,Female,Bachelor,64827.0,Married,Nova,8621.0,Standard,34,Engaged,5,2013-03-01
104586,Ontario,Male,Bachelor,86609.0,Divorced,Aurora,7772.58,Standard,40,Engaged,2,2016-12-01
104673,Ontario,Male,Bachelor,60006.0,Married,Aurora,14723.41,Standard,48,Engaged,6,2012-10-01
104732,British Columbia,Female,Bachelor,50930.0,Married,Nova,8382.48,Standard,37,Engaged,2,2016-01-01
104849,Ontario,Female,Bachelor,63326.0,Married,Nova,2816.76,Standard,35,Engaged,4,2014-03-01
104960,Newfoundland,Male,Bachelor,90265.0,Married,Star,2551.23,Standard,32,Engaged,6,2012-06-01
105063,Quebec,Male,Doctor,236405.0,Divorced,Star,7251.33,2018 Promotion,27,Engaged,0,2018-03-01
105073,Ontario,Male,College,66801.5,Single,Aurora,7562.82,2018 Promotion,52,Engaged,0,2018-03-01
105074,Ontario,Male,Bachelor,79727.0,Married,Nova,2799.75,Standard,46,Engaged,4,2014-10-01
105145,Ontario,Male,College,66801.5,Single,Star,4839.11,Standard,0,Disengaged,6,2012-07-01
105193,New Brunswick,Female,Bachelor,92396.0,Married,Nova,8838.09,Standard,3,Disengaged,0,2018-06-01
105214,British Columbia,Male,Bachelor,88863.0,Divorced,Star,5897.99,Standard,35,Engaged,5,2013-08-01
105335,British Columbia,Male,Bachelor,53065.0,Single,Nova,11611.95,Standard,36,Engaged,4,2014-10-01
105552,Prince Edward Island,Male,Bachelor,77935.0,Married,Nova,8256.3,Standard,30,Engaged,3,2015-11-01
105688,British Columbia,Female,College,67178.0,Married,Aurora,5507.06,Standard,45,Engaged,4,2014-06-01
105712,Ontario,Female,College,67178.0,Married,Nova,8311.14,Standard,31,Engaged,3,2015-08-01
105789,Saskatchewan,Female,College,67178.0,Single,Nova,2943.05,Standard,38,Engaged,6,2012-06-01
105835,Ontario,Male,Bachelor,41085.0,Married,Star,4756.13,2018 Promotion,35,Engaged,0,2018-04-01
105841,British Columbia,Male,Bachelor,55130.0,Married,Star,17420.57,2018 Promotion,73,Engaged,0,2018-03-01
105921,Quebec,Female,Bachelor,77255.0,Married,Star,5041.45,Standard,49,Engaged,6,2012-09-01
105932,Newfoundland,Male,Bachelor,62977.0,Married,Star,3671.82,Standard,30,Engaged,2,2016-07-01
105992,Ontario,Female,Bachelor,75700.0,Married,Nova,5905.97,Standard,42,Engaged,2,2016-12-01
106001,Quebec,Female,High School or Below,39000.0,Single,Star,4914.04,Standard,76,Engaged,5,2013-01-01
106037,British Columbia,Male,Bachelor,94980.0,Married,Nova,11281.52,Standard,51,Engaged,5,2013-03-01
106038,British Columbia,Female,Bachelor,47889.0,Married,Star,7380.09,Standard,32,Engaged,2,2016-09-01
106046,Quebec,Male,Bachelor,16628.0,Single,Star,2658.22,2018 Promotion,48,Engaged,0,2018-04-01
106048,British Columbia,Male,Doctor,70755.0,Divorced,Star,11315.2,Standard,3,Disengaged,0,2018-11-01
106218,Ontario,Male,Master,111106.0,Married,Nova,16473.17,Standard,38,Engaged,4,2014-01-01
106397,British Columbia,Male,College,66801.5,Married,Aurora,7902.68,Standard,25,Engaged,6,2012-05-01
106444,British Columbia,Male,College,66801.5,Divorced,Aurora,8447.8,Standard,14,Disengaged,1,2017-12-01
106477,British Columbia,Male,Bachelor,52935.0,Divorced,Star,2487.26,Standard,23,Engaged,4,2014-02-01
106592,Alberta,Male,Doctor,298661.0,Married,Nova,11727.78,Standard,47,Engaged,2,2016-06-01
106616,Quebec,Male,Bachelor,53879.0,Married,Star,2560.69,Standard,6,Disengaged,0,2018-07-01
106623,British Columbia,Male,Bachelor,77314.0,Married,Nova,10827.87,Standard,4,Disengaged,0,2018-09-01
106637,Quebec,Male,Bachelor,86121.0,Married,Star,7455.36,Standard,32,Engaged,4,2014-04-01
106689,Ontario,Female,Bachelor,61554.0,Married,Nova,2795.41,Standard,23,Engaged,1,2017-06-01
106754,Ontario,Female,Bachelor,49158.0,Married,Star,31864.86,Standard,31,Engaged,6,2012-07-01
106757,Alberta,Male,College,66801.5,Married,Aurora,21423.64,Standard,35,Engaged,3,2015-06-01
106776,Nova Scotia,Male,Bachelor,50611.0,Married,Star,19357.8,Standard,43,Engaged,6,2012-12-01
106838,British Columbia,Male,Bachelor,58674.0,Married,Aurora,7524.74,Standard,39,Engaged,2,2016-10-01
106839,Ontario,Male,Bachelor,63081.0,Married,Nova,6511.47,Standard,45,Engaged,4,2014-07-01
106936,Ontario,Female,Bachelor,67299.0,Married,Nova,57520.5,Standard,45,Engaged,6,2012-11-01
106946,British Columbia,Male,Bachelor,55446.0,Married,Star,7796.0,Standard,50,Engaged,2,2016-03-01
106964,New Brunswick,Female,College,67178.0,Single,Star,5568.95,Standard,4,Disengaged,0,2018-08-01
106978,Quebec,Female,Bachelor,81959.0,Divorced,Nova,3455.23,Standard,46,Engaged,6,2012-12-01
106979,Quebec,Male,Bachelor,86727.0,Single,Star,14083.97,Standard,38,Engaged,6,2012-06-01
107037,British Columbia,Female,Bachelor,62780.0,Married,Aurora,17732.46,Standard,31,Engaged,1,2017-05-01
107067,Quebec,Female,Bachelor,100598.0,Married,Star,5137.35,Standard,35,Engaged,2,2016-03-01
107119,Ontario,Female,Bachelor,92398.0,Single,Nova,17684.65,Standard,47,Engaged,5,2013-04-01
107141,Manitoba,Male,College,66801.5,Married,Star,7292.91,Standard,33,Engaged,5,2013-08-01
107203,British Columbia,Female,Master,94014.0,Divorced,Star,3044.79,Standard,47,Engaged,2,2016-03-01
107212,British Columbia,Female,Doctor,240146.0,Married,Star,6842.58,Standard,39,Engaged,5,2013-02-01
107296,Quebec,Male,Bachelor,74457.0,Married,Aurora,21892.94,Standard,21,Engaged,1,2017-07-01
107385,British Columbia,Female,Bachelor,87890.0,Divorced,Star,7155.47,Standard,22,Engaged,1,2017-11-01
107461,British Columbia,Male,College,66801.5,Married,Star,2519.92,Standard,18,Disengaged,3,2015-02-01
107466,New Brunswick,Female,Bachelor,66901.0,Married,Nova,4285.58,Standard,24,Engaged,1,2017-01-01
107487,Quebec,Male,Master,105487.0,Divorced,Nova,7805.31,Standard,18,Disengaged,1,2017-04-01
107571,British Columbia,Male,College,66801.5,Single,Aurora,7486.09,Standard,31,Engaged,1,2017-03-01
107649,Alberta,Male,Bachelor,94733.0,Married,Aurora,5879.18,Standard,45,Engaged,6,2012-05-01
107719,British Columbia,Male,College,66801.5,Single,Star,2345.08,Standard,30,Engaged,6,2012-07-01
107730,Newfoundland,Female,Bachelor,52961.0,Single,Aurora,26511.6,Standard,37,Engaged,1,2017-12-01
107835,Ontario,Female,Doctor,50363.0,Single,Star,3495.89,Standard,5,Disengaged,0,2018-09-01
107902,British Columbia,Female,Bachelor,103122.0,Single,Nova,4369.5,Standard,32,Engaged,3,2015-04-01
107993,Ontario,Female,Bachelor,52414.0,Married,Aurora,23740.12,Standard,32,Engaged,2,2016-06-01
108264,Saskatchewan,Female,Bachelor,60970.0,Married,Star,2515.41,Standard,68,Engaged,5,2013-01-01
108381,Manitoba,Female,Bachelor,47966.0,Married,Nova,3289.13,Standard,40,Engaged,4,2014-11-01
108430,Saskatchewan,Male,Bachelor,49927.0,Married,Aurora,30081.37,Standard,47,Engaged,5,2013-07-01
108440,Ontario,Male,Bachelor,100884.0,Married,Star,7842.87,Standard,35,Engaged,5,2013-05-01
108462,Quebec,Female,Bachelor,64014.0,Married,Star,8186.1,Standard,37,Engaged,2,2016-06-01
108481,Quebec,Female,Bachelor,60934.0,Married,Aurora,11633.58,Standard,0,Disengaged,0,2018-11-01
108528,Ontario,Female,Bachelor,53081.0,Divorced,Star,7858.11,Standard,51,Engaged,4,2014-05-01
108625,British Columbia,Male,Bachelor,81729.0,Married,Nova,15470.6,Standard,46,Engaged,2,2016-04-01
108666,British Columbia,Female,Bachelor,64417.0,Single,Aurora,12036.62,Standard,26,Engaged,3,2015-10-01
108907,British Columbia,Male,College,66801.5,Single,Star,2337.36,Standard,37,Engaged,2,2016-08-01
109022,Ontario,Female,Bachelor,57960.0,Married,Nova,2991.42,Standard,27,Engaged,5,2013-03-01
109023,Nova Scotia,Female,Master,81333.0,Single,Aurora,6005.85,Standard,35,Engaged,3,2015-07-01
109029,Manitoba,Male,Bachelor,74819.0,Divorced,Star,5812.0,Standard,2,Disengaged,0,2018-10-01
109203,Manitoba,Male,Bachelor,69098.0,Married,Star,8092.88,Standard,41,Engaged,4,2014-10-01
109399,Alberta,Male,College,66801.5,Married,Nova,4376.08,Standard,33,Engaged,0,2018-12-01
109478,Ontario,Male,Bachelor,84346.0,Married,Star,20998.26,Standard,44,Engaged,4,2014-07-01
109495,Quebec,Female,Bachelor,82594.0,Married,Nova,11218.44,Standard,44,Engaged,4,2014-01-01
109517,Ontario,Female,College,67178.0,Divorced,Nova,21295.51,Standard,34,Engaged,3,2015-05-01
109552,Ontario,Male,Bachelor,81364.0,Divorced,Nova,14166.2,Standard,22,Engaged,3,2015-12-01
109660,Alberta,Male,Bachelor,58026.0,Married,Nova,3543.23,Standard,42,Engaged,2,2016-02-01
109767,Ontario,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,44,Engaged,2,2016-05-01
109840,Quebec,Male,Bachelor,80921.0,Married,Star,4916.37,Standard,27,Engaged,2,2016-09-01
109896,Manitoba,Female,College,67178.0,Single,Star,3884.86,Standard,42,Engaged,5,2013-10-01
109903,Saskatchewan,Female,Bachelor,57975.0,Married,Star,5107.16,Standard,38,Engaged,5,2013-10-01
110001,Manitoba,Male,Bachelor,81771.0,Married,Nova,8173.5,Standard,32,Engaged,0,2018-12-01
110065,British Columbia,Male,Bachelor,82365.0,Single,Aurora,13432.0,2018 Promotion,97,Engaged,0,2018-03-01
110099,Yukon,Female,College,67178.0,Single,Star,4731.84,Standard,36,Engaged,5,2013-01-01
110170,British Columbia,Male,Bachelor,53189.0,Divorced,Nova,5532.46,Standard,7,Disengaged,0,2018-05-01
110262,Alberta,Male,Bachelor,52267.0,Married,Aurora,9427.68,2018 Promotion,45,Engaged,0,2018-02-01
110296,Quebec,Male,College,66801.5,Married,Star,2396.22,Standard,34,Engaged,5,2013-11-01
110394,Manitoba,Male,Bachelor,81901.0,Single,Star,2565.12,Standard,46,Engaged,5,2013-10-01
110422,Nova Scotia,Male,College,66801.5,Single,Star,2414.77,Standard,14,Disengaged,0,2018-01-01
110476,Ontario,Male,Bachelor,86244.0,Married,Star,6098.46,Standard,47,Engaged,4,2014-03-01
110678,Ontario,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,37,Engaged,2,2016-06-01
110691,British Columbia,Male,College,66801.5,Single,Star,4722.24,Standard,30,Engaged,3,2015-05-01
110752,Quebec,Male,Bachelor,72625.0,Divorced,Star,5154.05,Standard,41,Engaged,6,2012-08-01
111022,Manitoba,Female,College,67178.0,Divorced,Nova,14635.45,Standard,28,Engaged,5,2013-02-01
111034,Ontario,Female,Master,118863.0,Divorced,Nova,11790.5,Standard,49,Engaged,4,2014-03-01
111171,British Columbia,Female,College,67178.0,Single,Star,4628.28,Standard,45,Engaged,3,2015-02-01
111176,British Columbia,Female,College,67178.0,Single,Nova,4568.82,Standard,37,Engaged,4,2014-06-01
111255,Quebec,Male,High School or Below,70272.0,Married,Star,4122.96,Standard,48,Engaged,5,2013-03-01
111286,British Columbia,Female,Bachelor,55923.0,Married,Nova,10382.38,Standard,32,Engaged,5,2013-07-01
111329,Quebec,Female,Bachelor,50748.0,Married,Nova,3585.94,Standard,36,Engaged,2,2016-08-01
111485,Ontario,Female,Bachelor,90349.0,Divorced,Star,2989.96,Standard,51,Engaged,3,2015-05-01
111507,Quebec,Female,Bachelor,58405.0,Married,Star,17556.99,Standard,29,Engaged,6,2012-10-01
111573,Ontario,Male,Bachelor,85487.0,Married,Aurora,14349.86,Standard,42,Engaged,4,2014-05-01
111584,Ontario,Female,Doctor,68273.0,Divorced,Nova,4163.79,Standard,25,Engaged,1,2017-01-01
111788,British Columbia,Female,Bachelor,53537.0,Married,Nova,4935.19,Standard,65,Engaged,2,2016-09-01
111912,Ontario,Male,Bachelor,77443.0,Divorced,Aurora,5592.46,Standard,47,Engaged,2,2016-06-01
112026,British Columbia,Male,Doctor,185468.0,Divorced,Aurora,9670.18,Standard,56,Engaged,4,2014-01-01
112142,Ontario,Male,Bachelor,93073.0,Single,Aurora,16272.74,Standard,39,Engaged,3,2015-07-01
112226,British Columbia,Male,Bachelor,74413.0,Married,Nova,4686.47,Standard,38,Engaged,4,2014-01-01
112393,Ontario,Female,College,67178.0,Single,Star,6763.18,Standard,48,Engaged,4,2014-02-01
112522,Alberta,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,50,Engaged,0,2018-02-01
112632,Quebec,Male,College,66801.5,Married,Nova,9006.6,Standard,47,Engaged,0,2018-12-01
112678,Ontario,Male,College,66801.5,Married,Star,35537.85,Standard,29,Engaged,4,2014-10-01
112709,New Brunswick,Female,Doctor,68387.0,Married,Nova,4834.4,Standard,36,Engaged,2,2016-09-01
112732,New Brunswick,Female,Bachelor,67412.0,Married,Nova,8360.15,Standard,37,Engaged,2,2016-07-01
112733,British Columbia,Female,Bachelor,78298.0,Married,Nova,3353.38,Standard,46,Engaged,5,2013-01-01
112842,Ontario,Male,College,66801.5,Married,Nova,6217.26,Standard,32,Engaged,2,2016-11-01
112856,British Columbia,Male,Bachelor,46795.0,Married,Nova,26199.53,Standard,42,Engaged,4,2014-06-01
112863,British Columbia,Female,Bachelor,78218.0,Married,Aurora,16107.19,Standard,40,Engaged,2,2016-07-01
112894,Ontario,Male,College,66801.5,Married,Aurora,10221.81,Standard,0,Disengaged,0,2018-12-01
113040,British Columbia,Female,Bachelor,65935.0,Divorced,Nova,8427.17,Standard,29,Engaged,5,2013-01-01
113184,Ontario,Male,Bachelor,104262.0,Single,Star,2859.8,Standard,13,Disengaged,0,2018-08-01
113220,British Columbia,Male,Bachelor,86215.0,Married,Star,7986.19,Standard,36,Engaged,6,2012-12-01
113293,Quebec,Female,Bachelor,68245.0,Divorced,Star,18370.57,Standard,9,Disengaged,1,2017-11-01
113363,New Brunswick,Female,Bachelor,57311.0,Married,Nova,2760.95,Standard,22,Engaged,1,2017-09-01
113442,New Brunswick,Male,Bachelor,84453.0,Divorced,Star,2962.98,Standard,5,Disengaged,0,2018-09-01
113476,Newfoundland,Female,Bachelor,66334.0,Married,Aurora,9420.97,Standard,48,Engaged,5,2013-05-01
113529,Ontario,Male,Bachelor,76548.0,Married,Nova,5953.21,Standard,6,Disengaged,0,2018-06-01
113558,Quebec,Female,Bachelor,66116.0,Married,Aurora,6444.08,Standard,32,Engaged,3,2015-07-01
113679,Ontario,Male,College,66801.5,Single,Aurora,10634.84,Standard,52,Engaged,4,2014-01-01
113694,Saskatchewan,Female,College,67178.0,Divorced,Nova,4890.11,Standard,53,Engaged,4,2014-09-01
113755,British Columbia,Female,Bachelor,63616.0,Married,Star,3633.05,Standard,18,Disengaged,5,2013-03-01
113779,Quebec,Male,Doctor,233002.0,Married,Aurora,25640.24,Standard,37,Engaged,4,2014-03-01
113804,Quebec,Female,College,67178.0,Married,Star,3173.03,Standard,25,Engaged,2,2016-11-01
113831,Ontario,Male,Bachelor,47701.0,Married,Nova,3605.86,Standard,57,Engaged,2,2016-02-01
113839,Ontario,Male,College,66801.5,Divorced,Star,3839.61,Standard,30,Engaged,3,2015-09-01
113861,Quebec,Female,College,67178.0,Married,Star,2409.37,Standard,26,Engaged,1,2017-06-01
113864,Saskatchewan,Male,Bachelor,79913.0,Married,Star,8652.65,Standard,16,Disengaged,1,2017-11-01
113874,Ontario,Female,College,67178.0,Single,Nova,2894.24,2018 Promotion,42,Engaged,0,2018-02-01
113877,Ontario,Female,College,67178.0,Single,Star,9575.76,Standard,45,Engaged,5,2013-12-01
113904,Ontario,Female,Bachelor,63343.0,Married,Nova,26453.94,Standard,44,Engaged,3,2015-06-01
113919,Manitoba,Female,Bachelor,61482.0,Married,Aurora,5614.59,Standard,35,Engaged,3,2015-12-01
114018,Ontario,Male,Bachelor,78649.0,Married,Nova,9120.07,Standard,33,Engaged,5,2013-06-01
114021,British Columbia,Female,Bachelor,88044.0,Married,Star,5326.68,Standard,46,Engaged,4,2014-09-01
114131,British Columbia,Male,Bachelor,80516.0,Married,Nova,5389.5,2018 Promotion,49,Engaged,0,2018-04-01
114219,Ontario,Female,Bachelor,72888.0,Married,Nova,5479.56,Standard,35,Engaged,6,2012-07-01
114242,British Columbia,Male,Bachelor,68653.0,Married,Star,5914.95,Standard,38,Engaged,2,2016-07-01
114307,Ontario,Male,Bachelor,104829.0,Married,Nova,9863.5,Standard,33,Engaged,5,2013-03-01
114399,British Columbia,Female,College,67178.0,Single,Star,15994.01,Standard,4,Disengaged,0,2018-06-01
114414,Ontario,Male,College,66801.5,Married,Nova,3591.07,Standard,57,Engaged,6,2012-11-01
114493,Ontario,Female,Bachelor,47036.0,Single,Aurora,6063.2,Standard,32,Engaged,2,2016-04-01
114553,British Columbia,Male,Bachelor,47987.0,Divorced,Nova,3703.93,Standard,41,Engaged,6,2012-06-01
114638,Quebec,Male,College,66801.5,Single,Star,2152.08,Standard,51,Engaged,6,2012-12-01
114700,British Columbia,Female,Doctor,134476.0,Married,Star,7155.34,Standard,16,Disengaged,1,2017-12-01
114743,New Brunswick,Male,Bachelor,59753.0,Married,Star,4966.77,Standard,15,Disengaged,1,2017-07-01
114835,Ontario,Female,Master,101354.0,Divorced,Star,4001.52,Standard,30,Engaged,1,2017-07-01
114857,British Columbia,Female,Bachelor,57148.0,Married,Nova,13355.49,Standard,38,Engaged,1,2017-03-01
114903,British Columbia,Male,Bachelor,58414.0,Married,Nova,9767.94,Standard,36,Engaged,5,2013-10-01
114927,British Columbia,Male,Doctor,190674.0,Divorced,Star,3013.44,Standard,31,Engaged,1,2017-04-01
114983,British Columbia,Female,Doctor,71198.0,Married,Star,5601.68,Standard,27,Engaged,5,2013-10-01
115198,Yukon,Male,Bachelor,55845.0,Married,Star,3469.84,Standard,0,Disengaged,6,2012-09-01
115322,Ontario,Female,Doctor,221857.0,Married,Aurora,8257.67,Standard,48,Engaged,5,2013-11-01
115354,New Brunswick,Female,College,67178.0,Single,Star,6297.0,Standard,52,Engaged,6,2012-08-01
115405,Ontario,Female,Bachelor,50797.0,Single,Star,4637.16,Standard,35,Engaged,3,2015-07-01
115427,Quebec,Female,Bachelor,95967.0,Married,Nova,8685.92,Standard,46,Engaged,2,2016-11-01
115505,Newfoundland,Male,Bachelor,10605.0,Married,Nova,5860.17,2018 Promotion,26,Engaged,0,2018-04-01
115529,British Columbia,Male,Master,101038.0,Married,Star,8382.63,Standard,34,Engaged,4,2014-11-01
